0:0:1:1:0|1:1:1:1:4c|1:4a:1:1b:4p|1:1a:1c:1:1p|4b:2:1:1:1,1:1:1:1|1:1:1a:1|1:1:1b:4p|4b:1p:1:4a,4b:1:1:0:0|1:1:1:0:0|1b:1:2:4p:0|1:1a:1:0:0|4a:1p:0:1:0,0:2:2:1|2:1p:1b:1|2:2:1a:4b|0:4p:4a:2,2:2:0:4c|1p:1b:1:4b|1a:2:2:1c|4a:4p:1:1,2:1:2:0:0|1p:1a:1:1:1|1b:1:1:1:1|1:4p:2:4a:2|4b:1:1:1:2,2:2:2:4c:4p|4b:1:1b:1p:4a|1d:1a:1c:2:2|1:1:0:1:0|4d:1:1:0:0,0:0:0:0:0|4p:1:4a:4b:1|2:1p:1:1:0|1:1b:1:1a:1|2:1:1:1:2,1:1:1:1:4b|1:1:1a:1:1p|2:1:1:1c:2|0:1:1:1b:4a|0:4p:4c:2:2
61,96,26,10,13,21,34,24,110
51,90,40,8,17,17,36,26,32
70,62,55,18,19,19,68,75,69
47,64,28,10,24,17,42,36,88
50,122,32,8,17,38,35,30,52
50,78,71,8,19,17,104,28,52
55,61,54,10,15,21,43,42,54
38,96,57,10,18,17,42,24,44
71,162,86,8,13,15,36,29,36
32,70,28,8,15,20,45,30,37
35,90,48,8,15,27,44,30,52
63,47,32,8,13,17,39,27,36
31,39,37,8,13,17,29,26,53
39,46,26,10,17,17,36,26,45
35,46,37,10,13,19,32,24,78
45,43,31,10,13,17,38,26,40
33,79,34,8,17,15,34,26,82
42,45,29,8,13,19,41,26,77
