0:0:1:1:0|1:1:1:1:4c|1:4a:1:1b:4p|1:1a:1c:1:1p|4b:2:1:1:1,1:1:1:1|1:1:1a:1|1:1:1b:4p|4b:1p:1:4a,4b:1:1:0:0|1:1:1:0:0|1b:1:2:4p:0|1:1a:1:0:0|4a:1p:0:1:0,0:2:2:1|2:1p:1b:1|2:2:1a:4b|0:4p:4a:2,2:2:0:4c|1p:1b:1:4b|1a:2:2:1c|4a:4p:1:1,2:1:2:0:0|1p:1a:1:1:1|1b:1:1:1:1|1:4p:2:4a:2|4b:1:1:1:2,2:2:2:4c:4p|4b:1:1b:1p:4a|1d:1a:1c:2:2|1:1:0:1:0|4d:1:1:0:0,0:0:0:0:0|4p:1:4a:4b:1|2:1p:1:1:0|1:1b:1:1a:1|2:1:1:1:2,1:1:1:1:4b|1:1:1a:1:1p|2:1:1:1c:2|0:1:1:1b:4a|0:4p:4c:2:2
32673,38947,12389,14873,10157,11041,15673,14123,138415
27263,44413,37004,10656,15556,13174,21223,17290,37855
233688,224392,182548,138441,60757,64079,231039,279071,282172
45496,44874,22173,11523,49971,13806,29472,24457,89913
64712,125970,21140,10273,18889,28829,40290,27087,52951
64863,100020,158987,9439,18889,15075,110859,35141,93715
118354,75574,160617,17922,13590,12327,44339,37537,44080
24007,62829,131396,17789,13774,19324,45457,13987,64274
117092,177421,176714,18206,12040,21347,44091,40161,31522
35941,49863,21241,12890,20262,37292,38562,47129,49628
79391,807336,40460,19856,23456,23116,69007,37250,79006
97211,30990,24114,13507,14472,13423,34757,17155,40006
37286,46359,43478,13725,15633,17491,45717,20459,90719
23590,56862,32296,12142,17075,16533,31587,15901,28047
43810,53743,111070,22049,89147,43603,69760,31696,250419
31846,45768,23948,9285,19025,20116,28363,16884,63852
20314,63095,29658,12018,13800,16890,25708,15817,130305
52001,42890,33544,9504,23804,16111,38105,17216,155758
